dit,mpc,nom,change
0,2,24,102
2,18,5,85
2,11,5,38
2,20,31,81
2,8,29,55
2,27,35,101
2,14,25,38
2,38,5,157
2,18,23,68
2,24,5,26
2,8,19,24
2,18,5,86
1,10,4,26
2,13,18,47
2,16,5,78
2,23,38,88
2,20,6,124
1,12,4,28
2,13,4,62
2,16,6,35
1,17,6,41
2,32,6,49
3,5,11,9
2,20,4,70
2,41,5,46
2,29,4,42
2,21,35,92
2,23,5,48
2,21,24,56
1,38,7,217
2,42,5,45
2,8,19,24
2,19,5,85
2,8,15,10
2,21,5,100
2,17,35,72
2,22,5,48
4,11,6,24
2,8,13,16
1,6,20,14
2,16,5,82
2,16,6,39
1,16,7,98
1,33,7,56
3,21,57,146
3,12,8,25
2,17,5,68
1,23,6,48
2,18,37,170
2,27,32,80
2,21,5,148
2,18,5,30
2,11,19,28
2,9,26,35
2,15,5,77
2,11,25,45
2,15,5,52
2,23,40,70
2,24,6,188
2,20,5,79
2,18,5,30
2,16,5,75
2,15,5,64
2,20,6,107
2,6,15,8
2,5,14,6
1,14,4,24
2,10,4,52
2,18,21,38
2,11,26,41
2,17,5,94
