dit,noc,mpc,rfc,lcom,dac,wmc,nom,size2,size1,change
0,0,2,27,5,1,38,24,25,365,102
2,0,18,39,3,2,4,5,9,174,85
2,0,11,29,4,1,2,5,7,122,38
2,0,20,96,26,5,28,31,36,485,81
2,0,8,62,10,8,31,29,37,310,55
2,0,27,150,19,12,60,35,49,648,101
2,0,14,68,18,5,14,25,31,260,38
2,0,38,59,4,1,2,5,7,365,157
2,0,18,86,14,8,23,23,32,376,68
2,0,24,40,4,2,2,5,8,144,26
2,0,8,54,14,4,13,19,24,211,24
2,0,18,38,4,1,2,5,7,230,86
1,0,10,22,4,0,7,4,4,121,26
2,0,13,68,14,3,17,18,23,245,47
2,0,16,32,4,1,2,5,9,174,78
2,0,23,110,18,14,48,38,53,534,88
2,0,20,41,5,1,2,6,10,250,124
1,0,12,22,4,0,13,4,4,172,28
2,0,13,22,3,1,2,4,8,142,62
2,0,16,42,5,3,9,6,10,210,35
1,0,17,38,6,0,11,6,6,168,41
2,0,32,55,5,4,7,6,11,259,49
3,0,5,24,11,5,3,11,16,128,9
2,0,20,38,3,1,33,4,7,499,70
2,0,41,50,4,2,1,5,7,162,46
2,0,29,38,3,1,2,4,6,181,42
2,0,21,149,23,9,41,35,46,613,92
2,0,23,41,4,1,3,5,7,184,48
2,0,21,95,15,7,22,24,33,356,56
1,0,38,90,7,0,83,7,8,854,217
2,0,42,58,4,2,3,5,8,238,45
2,0,8,54,14,4,13,19,24,211,24
2,0,19,40,3,2,8,5,9,200,85
2,0,8,34,12,3,9,15,19,146,10
2,0,21,42,4,1,5,5,7,233,100
2,0,17,118,24,8,32,35,44,505,72
2,0,22,40,4,1,3,5,7,183,48
4,0,11,37,6,9,10,6,15,188,24
2,0,8,35,8,4,5,13,18,149,16
1,0,6,35,14,3,17,20,24,176,14
2,0,16,35,4,1,2,5,7,183,82
2,0,16,39,5,3,12,6,10,204,39
1,0,16,43,7,0,40,7,7,354,98
1,0,33,62,6,3,15,7,11,349,56
3,0,21,109,16,25,62,57,82,1009,146
3,0,12,37,5,1,26,8,9,236,25
2,0,17,30,4,1,2,5,9,164,68
1,0,23,48,5,3,9,6,10,199,48
2,0,18,156,29,6,46,37,45,558,170
2,0,27,125,24,5,35,32,38,540,80
2,0,21,41,4,1,2,5,7,252,148
2,0,18,34,4,2,2,5,8,135,30
2,0,11,47,15,3,10,19,22,177,28
2,0,9,56,20,4,12,26,30,206,35
2,0,15,34,4,1,2,5,7,217,77
2,0,11,88,20,3,22,25,30,314,45
2,0,15,31,4,1,2,5,9,153,52
2,0,23,121,33,5,36,40,46,481,70
2,0,24,45,5,1,3,6,10,327,188
2,0,20,39,4,1,2,5,7,216,79
2,0,18,34,4,2,2,5,8,135,30
2,0,16,35,4,1,2,5,7,216,75
2,0,15,32,4,1,2,5,9,153,64
2,0,20,39,5,1,2,6,9,258,107
2,0,6,33,12,4,7,15,20,134,8
2,0,5,30,12,3,6,14,18,115,6
1,0,14,27,3,2,14,4,7,194,24
2,0,10,17,3,3,1,4,11,115,52
2,0,18,78,14,9,22,21,31,333,38
2,0,11,62,13,7,27,26,34,285,41
2,0,17,40,4,1,5,5,7,183,94
